epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,4567.99,0.49845,0.4824,0.33537,0.00391,0.24605,0.90838,0.93901,0.94593,0.88613,0.90221,0.9242,0.93822,0.81916,0.32436,0.67028,0.25317,0.00506,0,0.000750252,0.000750252,0.000750252
69,4633.58,0.493,0.50398,0.32805,0.0039,0.22231,0.91822,0.9048,0.95329,0.89854,0.90667,0.89331,0.93966,0.83932,0.30375,0.49274,0.23839,0.00458,0,0.000743468,0.000743468,0.000743468
70,4699.57,0.49539,0.47965,0.33786,0.00393,0.24956,0.91825,0.91636,0.94849,0.89441,0.91054,0.90692,0.93986,0.82577,0.32399,0.49302,0.26421,0.00527,0,0.000736625,0.000736625,0.000736625
71,4765.03,0.49064,0.46471,0.32502,0.00402,0.24913,0.90259,0.93761,0.9476,0.8957,0.89703,0.93132,0.94443,0.83,0.29811,0.66148,0.24093,0.00482,0,0.000729725,0.000729725,0.000729725
72,4831.51,0.48861,0.47938,0.33028,0.00396,0.22939,0.91279,0.92138,0.93779,0.88552,0.90462,0.91276,0.9325,0.8164,0.30983,0.64859,0.28243,0.00484,0,0.00072277,0.00072277,0.00072277
73,4897.44,0.4842,0.47126,0.33182,0.00394,0.22843,0.92116,0.92401,0.95473,0.90205,0.91281,0.91539,0.94673,0.83953,0.30153,0.48547,0.2301,0.00484,0,0.000715761,0.000715761,0.000715761
74,4961.36,0.48334,0.50044,0.33327,0.00388,0.22513,0.90952,0.93423,0.9483,0.89632,0.90146,0.9256,0.93894,0.83408,0.2849,0.50393,0.26423,0.00447,0,0.0007087,0.0007087,0.0007087
75,5027.47,0.48109,0.51651,0.3405,0.00391,0.2136,0.89556,0.93348,0.94482,0.89374,0.88315,0.91798,0.92878,0.81804,0.29535,0.59904,0.26609,0.00449,0,0.000701588,0.000701588,0.000701588
76,5093.42,0.47885,0.45675,0.32342,0.00375,0.21318,0.9073,0.92919,0.94313,0.8877,0.91067,0.9012,0.93124,0.812,0.31899,0.66298,0.2612,0.00496,0,0.000694428,0.000694428,0.000694428
77,5159.05,0.46483,0.48095,0.31399,0.00382,0.20128,0.9086,0.93348,0.93997,0.88255,0.90292,0.92719,0.93209,0.81163,0.30759,0.40814,0.26281,0.00461,0,0.000687222,0.000687222,0.000687222
